ID,title,description,duration,format,skillArea,prerequisites
1,S/4HANA Migration Fundamentals,"Comprehensive introduction to SAP S/4HANA migration strategies including Greenfield, Brownfield, and Selective Data Transition (SDT) approaches. Covers system landscape design, data migration tools (LTMC/LTMOM), and go-live planning best practices.",16 hours,eLearning,S/4HANA Migration,SAP ECC basics
2,SAP BTP Architecture and Services,"Deep dive into SAP Business Technology Platform including Cloud Foundry, Kyma runtime, Integration Suite, and Extension Suite. Learn how BTP serves as the integration and extension layer for SAP S/4HANA and SuccessFactors.",24 hours,Blended,BTP,None
3,SuccessFactors Employee Central Configuration,"Hands-on configuration of SuccessFactors Employee Central covering org structures, position management, business rules, and workflow design. Includes integration patterns with SAP S/4HANA Payroll and Finance.",32 hours,Instructor-Led,SuccessFactors HCM,HR domain knowledge
4,AI and Machine Learning on SAP BTP,"Practical guide to building AI-powered applications using SAP AI Core, SAP AI Launchpad, and the Generative AI Hub. Covers prompt engineering, RAG patterns, and responsible AI governance in an enterprise SAP context.",20 hours,Blended,AI/ML,BTP fundamentals
5,Change Management for S/4HANA Transformations,"Structured change management methodology for large-scale SAP S/4HANA programs. Covers stakeholder analysis, communication planning, training needs assessment, and adoption measurement using Prosci ADKAR and SAP Activate.",12 hours,Instructor-Led,Change Management,None
6,SAP Integration Suite — API Management,"Design and govern APIs using SAP Integration Suite API Management. Topics include API proxies, rate limiting, OAuth 2.0 security, developer portals, and integration with SAP S/4HANA OData services.",16 hours,eLearning,BTP,REST API basics
7,SAP Datasphere and Analytics Cloud,"Build enterprise data fabrics using SAP Datasphere (formerly Data Warehouse Cloud) and SAP Analytics Cloud. Covers space design, data layer modeling, live connections to S/4HANA, and AI-assisted story creation.",24 hours,Blended,Analytics & Data,SQL basics
8,Hire-to-Retire Process Design,"End-to-end process design for the Hire-to-Retire (H2R) value chain spanning SAP SuccessFactors Recruiting, Onboarding, Employee Central, and Time Management, with payroll handoff to S/4HANA HCM.",20 hours,Instructor-Led,SuccessFactors HCM,HR domain knowledge
9,SAP Fiori UX Design and Development,"Design and develop SAP Fiori applications using SAPUI5 and SAP Fiori Elements. Covers UX best practices, OData V4 service integration, and deployment to SAP BTP or S/4HANA embedded Fiori Launchpad.",28 hours,Blended,BTP,JavaScript fundamentals
10,SAP Activate Methodology for Cloud Projects,"Master the SAP Activate project management methodology for cloud deployments. Covers Discover, Prepare, Explore, Realize, Deploy, and Run phases with fit-to-standard workshops and agile sprint planning.",8 hours,eLearning,S/4HANA Migration,Project management basics
